date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:38	3691/3691	---M-Z	404	error ('Not%20Found')	text/html	etag:1549982179-ssl-df	https://kantologist.netlify.app/robots.txt		(from )
11:02:38	39364/39364	---M-Z	200	added ('OK')	text/html	etag:%2246286e46c41ac7be83e10be41ea88b78-ssl-df%22	https://kantologist.netlify.app/	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/index.html	(from )
11:02:39	4664/4664	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4821-1238%22	https://cdnjs.cloudflare.com/ajax/libs/academicons/1.8.6/css/academicons.min.css	C:/My%20Web%20Sites/Zeros/cdnjs.cloudflare.com/ajax/libs/academicons/1.8.6/css/academicons.min.css	(from https://kantologist.netlify.app/)
11:02:40	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225b5750b8-22688%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/Zeros/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	(from https://kantologist.netlify.app/)
11:02:42	53741/53741	---MCZ	200	added ('OK')	text/css	etag:W/%22ae4d052bb6a9986bcd0634b812200894%22	https://use.fontawesome.com/releases/v5.6.0/css/all.css	C:/My%20Web%20Sites/Zeros/use.fontawesome.com/releases/v5.6.0/css/all.css	(from https://kantologist.netlify.app/)
11:02:42	13496/13496	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4933-34b8%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.5/jquery.fancybox.min.css	C:/My%20Web%20Sites/Zeros/cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.5/jquery.fancybox.min.css	(from https://kantologist.netlify.app/)
11:02:42	872/872	---MCZ	200	added ('OK')	text/css	etag:W/%225afd494d-368%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/github.min.css	C:/My%20Web%20Sites/Zeros/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/github.min.css	(from https://kantologist.netlify.app/)
11:02:42	40198/40198	---M-Z	200	added ('OK')	text/css	etag:%22fb086b6fba7cea8ed14a331dc3800a44-ssl-df%22	https://kantologist.netlify.app/styles.css	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/styles.css	(from https://kantologist.netlify.app/)
11:02:43	11326/11326	---M-Z	200	added ('OK')	application/xml	etag:%2283d9ae61a5661c75c40d3475d029ac35-ssl-df%22	https://kantologist.netlify.app/index.xml	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/index.xml	(from https://kantologist.netlify.app/)
11:02:43	285/285	---M--	200	added ('OK')	application/octet-stream	etag:%226edc4f29f4f80ca5fd4e9cdda7d661d8-ssl%22	https://kantologist.netlify.app/site.webmanifest	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/site.webmanifest	(from https://kantologist.netlify.app/)
11:02:43	2354/2354	---M--	200	added ('OK')	image/png	etag:%22a299f6ef4f71149435252cc756589105-ssl%22	https://kantologist.netlify.app/img/icon.png	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/img/icon.png	(from https://kantologist.netlify.app/)
11:02:44	9035/9035	---M--	200	added ('OK')	image/png	etag:%226592f5dd643248d007489624ca86eb6d-ssl%22	https://kantologist.netlify.app/img/icon-192.png	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/img/icon-192.png	(from https://kantologist.netlify.app/)
11:02:45	7223/7223	---M--	200	added ('OK')	image/jpeg	etag:%229050a55f81378e295deab69171f2a50a-ssl%22	https://kantologist.netlify.app/author/admin/avatar_huc19c5f5697ebbc386e671d3177714e24_1468803_250x250_fill_q75_box_center.jpg	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/author/admin/avatar_huc19c5f5697ebbc386e671d3177714e24_1468803_250x250_fill_q75_box_center.jpg	(from https://kantologist.netlify.app/)
11:02:45	329/329	---M--	200	added ('OK')	application/javascript	etag:%222ead02879af67d6db0d7a7739931b960-ssl%22	https://kantologist.netlify.app/js/mathjax-config.js	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/js/mathjax-config.js	(from https://kantologist.netlify.app/)
11:02:46	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497c-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/Zeros/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://kantologist.netlify.app/)
11:02:46	17155/17155	---M-Z	200	added ('OK')	text/html	etag:%22170e652560a4beaf4c2a2ddaece385f1-ssl-df%22	https://kantologist.netlify.app/publication/api/	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/publication/api/index.html	(from https://kantologist.netlify.app/)
11:02:46	5559/5559	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494d-15b7%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.3/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/Zeros/cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.3/imagesloaded.pkgd.min.js	(from https://kantologist.netlify.app/)
11:02:46	17462/17462	---M-Z	200	added ('OK')	text/html	etag:%22b5014168bc2b5f4c176cad2cf0962590-ssl-df%22	https://kantologist.netlify.app/publication/deep-class/	C:/My%20Web%20Sites/Zeros/kantologist.netlify.app/publication/deep-class/index.html	(from https://kantologist.netlify.app/)
